date,United_States,Japan,United_Kingdom,China,Germany
2007-01-01,4,0,5,0,0
2007-02-01,8,0,5,0,0
2007-03-01,9,0,7,0,0
2007-04-01,6,0,6,5,0
2007-05-01,6,0,5,3,0
2007-06-01,4,0,4,0,0
2007-07-01,4,0,3,0,0
2007-08-01,9,0,6,0,13
2007-09-01,16,0,9,4,14
2007-10-01,11,0,7,0,9
2007-11-01,19,23,11,4,0
2007-12-01,17,0,11,0,14
2008-01-01,82,51,36,6,57
2008-02-01,35,0,19,0,30
2008-03-01,45,38,24,4,27
2008-04-01,40,0,20,3,25
2008-05-01,24,24,17,0,18
2008-06-01,19,20,20,0,18
2008-07-01,21,0,47,2,24
2008-08-01,23,22,29,0,38
2008-09-01,52,36,48,4,54
2008-10-01,73,69,85,8,88
2008-11-01,56,88,77,10,97
2008-12-01,69,95,64,13,60
2009-01-01,53,82,94,10,79
2009-02-01,68,100,95,9,68
2009-03-01,63,82,96,9,62
2009-04-01,48,68,80,12,71
2009-05-01,36,57,57,8,47
2009-06-01,28,39,50,7,52
2009-07-01,29,55,41,3,45
2009-08-01,24,58,40,5,41
2009-09-01,31,28,45,5,37
2009-10-01,31,37,50,4,42
2009-11-01,30,58,60,5,41
2009-12-01,25,52,45,5,29
2010-01-01,21,41,49,6,39
2010-02-01,22,35,53,3,36
2010-03-01,22,34,60,4,38
2010-04-01,22,45,49,5,30
2010-05-01,18,19,45,6,31
2010-06-01,16,14,35,4,31
2010-07-01,16,37,22,4,34
2010-08-01,17,24,21,3,29
2010-09-01,23,25,25,5,32
2010-10-01,18,19,30,4,25
2010-11-01,18,24,39,4,29
2010-12-01,16,18,25,6,20
2011-01-01,14,12,35,4,15
2011-02-01,13,17,32,3,15
2011-03-01,17,0,39,4,18
2011-04-01,17,0,27,4,15
2011-05-01,14,14,26,6,21
2011-06-01,15,15,24,3,16
2011-07-01,13,16,19,2,21
2011-08-01,27,23,27,5,41
2011-09-01,22,22,30,3,32
2011-10-01,21,20,34,5,26
2011-11-01,18,24,44,5,27
2011-12-01,14,15,33,4,26
2012-01-01,13,17,36,3,22
2012-02-01,14,19,32,3,20
2012-03-01,13,17,34,3,21
2012-04-01,15,12,41,3,16
2012-05-01,14,15,35,4,26
2012-06-01,11,13,21,4,16
2012-07-01,10,7,20,1,19
2012-08-01,10,13,16,3,23
2012-09-01,14,10,22,5,19
2012-10-01,15,12,31,9,19
2012-11-01,17,15,34,7,23
2012-12-01,11,14,23,6,18
2013-01-01,10,15,29,7,19
2013-02-01,12,13,28,0,22
2013-03-01,11,0,29,8,11
2013-04-01,13,13,29,5,16
2013-05-01,11,14,21,8,24
2013-06-01,7,10,16,5,18
2013-07-01,7,9,11,3,12
2013-08-01,7,7,10,0,11
2013-09-01,9,7,16,6,11
2013-10-01,11,5,20,9,14
2013-11-01,10,12,26,7,12
2013-12-01,9,7,21,6,10
2014-01-01,8,6,19,6,13
2014-02-01,10,0,19,4,11
2014-03-01,11,5,21,7,15
2014-04-01,12,7,17,6,12
2014-05-01,11,12,16,8,15
2014-06-01,8,13,12,0,17
